type_ID,type_name,description,category
81,Grenade Launcher,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Electronics
82,Satellite Phone,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Protection
83,GPS Unit,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Clothing
84,Ammunition Crate,Morbi a ipsum. Integer a nibh.,Protection
85,Mobile Jammer,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Ammunition
86,Mobile Jammer,Nulla ut erat id mauris vulputate elementum. Nullam varius.,Cybersecurity
87,Infrared Scope,In quis justo. Maecenas rhoncus aliquam lacus.,Utility
88,Armored Backpack,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Navigation
89,Kevlar Vest,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Electronics
90,Grenade Launcher,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Electronics
91,Night Vision Goggles,Sed accumsan felis. Ut at dolor quis odio consequat varius.,Weapon
92,Ammunition Crate,Nulla facilisi.,Protection
93,Emergency Beacon,Proin at turpis a pede posuere nonummy. Integer non velit.,Electronics
94,Ballistic Helmet,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Protection
95,Sniper Rifle,Morbi porttitor lorem id ligula.,Cybersecurity
96,Tactical Radio,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Camouflage
97,Grenade Launcher,Aliquam erat volutpat. In congue.,Communication
98,Combat Knife,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Communication
99,Ammunition Crate,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Measurement
100,Sniper Rifle,Ut at dolor quis odio consequat varius.,Detection
101,Cyber Defense Tablet,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Communication
102,Riot Gear,Aliquam erat volutpat. In congue.,Weapon
103,Grenade Launcher,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Navigation
104,Riot Gear,Suspendisse potenti.,Surveillance
105,Camouflage Netting,Nunc nisl.,Ammunition
106,Infrared Scope,Nunc purus.,Communication
107,Grenade Launcher,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Surveillance
108,Combat Boots,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Communication
109,Laser Rangefinder,Nulla tellus.,Electronics
110,Field Laptop,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Weapon
111,Drone Controller,Sed ante. Vivamus tortor.,Surveillance
112,Satellite Phone,Etiam vel augue. Vestibulum rutrum rutrum neque.,Detection
113,Surveillance Drone,Fusce consequat. Nulla nisl.,Optics
114,Portable Radar,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Communication
115,GPS Unit,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Detection
116,Tactical Radio,Phasellus in felis.,Communication
117,Combat Knife,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Communication
118,Explosive Detector,Integer ac neque. Duis bibendum.,Electronics
119,Mobile Jammer,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Camouflage
120,Satellite Phone,Morbi ut odio.,Optics
121,Mobile Jammer,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Optics
122,Riot Gear,Vivamus vestibulum sagittis sapien.,Ammunition
123,Explosive Detector,Duis aliquam convallis nunc.,Optics
124,Camouflage Netting,Morbi quis tortor id nulla ultrices aliquet.,Electronics
125,GPS Unit,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Protection
126,Riot Gear,Aliquam quis turpis eget elit sodales scelerisque.,Electronics
127,Anti-Drone Gun,Cras pellentesque volutpat dui.,Optics
128,Medical Backpack,In blandit ultrices enim.,Detection
129,Thermal Camera,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Electronics
130,Field Laptop,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Camouflage
131,Field Laptop,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Detection
132,Cyber Defense Tablet,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Utility
133,Portable Radar,Nunc rhoncus dui vel sem. Sed sagittis.,Weapon
134,Satellite Phone,In sagittis dui vel nisl. Duis ac nibh.,Communication
135,Combat Boots,Fusce posuere felis sed lacus.,Protection
136,Water Purifier,Fusce posuere felis sed lacus.,Weapon
137,Laser Rangefinder,Proin risus.,Detection
138,Combat Boots,Vivamus in felis eu sapien cursus vestibulum.,Electronics
139,GPS Unit,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Electronics
140,Kevlar Vest,Donec vitae nisi.,Protection
141,Ammunition Crate,Curabitur in libero ut massa volutpat convallis.,Detection
142,Ballistic Helmet,Aenean lectus.,Communication
143,Ammunition Crate,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Protection
144,Armored Backpack,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Protection
145,Water Purifier,Nunc purus.,Protection
146,Sniper Rifle,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Optics
147,GPS Unit,In quis justo. Maecenas rhoncus aliquam lacus.,Weapon
148,Portable Radar,Donec semper sapien a libero. Nam dui.,Utility
149,Ammunition Crate,In hac habitasse platea dictumst.,Protection
150,Camouflage Netting,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Weapon
151,Laser Rangefinder,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Electronics
152,Ballistic Helmet,Phasellus id sapien in sapien iaculis congue.,Medical
153,Water Purifier,Nullam molestie nibh in lectus.,Cybersecurity
154,Riot Gear,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Optics
155,Mobile Jammer,Aliquam non mauris. Morbi non lectus.,Measurement
156,Emergency Beacon,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Protection
157,Medical Backpack,Praesent blandit.,Electronics
158,Riot Gear,Duis mattis egestas metus. Aenean fermentum.,Weapon
159,Medical Backpack,Aliquam sit amet diam in magna bibendum imperdiet.,Protection
160,Mine Detector,Pellentesque ultrices mattis odio.,Weapon
161,Combat Boots,Integer a nibh. In quis justo.,Protection
162,GPS Unit,In sagittis dui vel nisl.,Protection
163,Thermal Camera,Aliquam quis turpis eget elit sodales scelerisque.,Communication
164,Tactical Radio,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Utility
165,Tactical Radio,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,Surveillance
166,Surveillance Drone,Morbi non lectus.,Protection
167,Emergency Beacon,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Protection
168,Emergency Beacon,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Ammunition
169,Kevlar Vest,Nulla facilisi.,Surveillance
170,Bulletproof Shield,Morbi a ipsum.,Measurement
171,Cyber Defense Tablet,Phasellus sit amet erat.,Medical
172,Medical Backpack,Sed ante. Vivamus tortor.,Measurement
173,Sniper Rifle,In hac habitasse platea dictumst.,Weapon
174,Sniper Rifle,Integer ac leo.,Surveillance
175,Ballistic Helmet,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Weapon
176,Infrared Scope,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Weapon
177,Grenade Launcher,Integer ac leo.,Weapon
178,Bulletproof Shield,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Protection
179,Satellite Phone,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Protection
180,Bulletproof Shield,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Measurement
181,Drone Controller,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Electronics
182,Infrared Scope,Quisque id justo sit amet sapien dignissim vestibulum.,Protection
183,Mobile Jammer,Maecenas tincidunt lacus at velit.,Weapon
184,Sniper Rifle,Morbi quis tortor id nulla ultrices aliquet.,Electronics
185,Water Purifier,Vestibulum sed magna at nunc commodo placerat.,Weapon
186,Combat Knife,Phasellus sit amet erat. Nulla tempus.,Cybersecurity
187,Surveillance Drone,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Detection
188,Bulletproof Shield,Vivamus in felis eu sapien cursus vestibulum.,Communication
189,GPS Unit,Donec posuere metus vitae ipsum.,Utility
190,Kevlar Vest,Nulla mollis molestie lorem. Quisque ut erat.,Utility
191,Drone Controller,Duis at velit eu est congue elementum.,Optics
192,Infrared Scope,Donec dapibus.,Cybersecurity
193,Anti-Drone Gun,Aenean sit amet justo.,Optics
194,Sniper Rifle,Phasellus in felis. Donec semper sapien a libero.,Camouflage
195,Armored Backpack,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Weapon
196,Explosive Detector,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Electronics
197,Infrared Scope,Nullam varius.,Surveillance
198,Laser Rangefinder,Fusce posuere felis sed lacus.,Electronics
199,Emergency Beacon,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Ammunition
200,Infrared Scope,Ut tellus.,Weapon
201,Bulletproof Shield,Sed ante. Vivamus tortor.,Utility
202,Portable Radar,Morbi quis tortor id nulla ultrices aliquet.,Communication
203,Portable Radar,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Protection
204,Water Purifier,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Clothing
205,Explosive Detector,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Navigation
206,Anti-Drone Gun,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Weapon
207,Surveillance Drone,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Cybersecurity
208,Sniper Rifle,Duis aliquam convallis nunc.,Optics
209,Camouflage Netting,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Electronics
210,Mobile Jammer,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Navigation
211,Explosive Detector,Aliquam quis turpis eget elit sodales scelerisque.,Utility
212,Riot Gear,Quisque id justo sit amet sapien dignissim vestibulum.,Detection
213,Bulletproof Shield,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Detection
214,Kevlar Vest,Nunc nisl.,Measurement
215,Drone Controller,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Protection
216,Emergency Beacon,Nulla tellus.,Weapon
217,Kevlar Vest,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Protection
218,Armored Backpack,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Protection
219,Portable Radar,Curabitur gravida nisi at nibh.,Weapon
220,Sniper Rifle,Duis ac nibh.,Navigation
221,Infrared Scope,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Medical
222,GPS Unit,Ut tellus. Nulla ut erat id mauris vulputate elementum.,Detection
223,Emergency Beacon,Quisque porta volutpat erat.,Protection
224,Combat Boots,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Protection
225,GPS Unit,Nunc purus.,Weapon
226,Grenade Launcher,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Medical
227,Water Purifier,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Measurement
228,Bulletproof Shield,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Clothing
229,Camouflage Netting,Nunc purus. Phasellus in felis.,Electronics
230,Grenade Launcher,Donec dapibus.,Protection
231,Emergency Beacon,Quisque porta volutpat erat.,Weapon
232,Ballistic Helmet,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Protection
233,Satellite Phone,Nulla mollis molestie lorem. Quisque ut erat.,Utility
234,Camouflage Netting,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Communication
235,Combat Knife,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Surveillance
236,Cyber Defense Tablet,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Navigation
237,Mine Detector,Nullam varius.,Detection
238,Mobile Jammer,Morbi non lectus.,Navigation
239,Satellite Phone,Pellentesque viverra pede ac diam.,Utility
240,Kevlar Vest,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Communication
241,Mobile Jammer,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Protection
242,Armored Backpack,Phasellus in felis.,Optics
243,Ammunition Crate,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Weapon
244,Ballistic Helmet,Proin eu mi.,Communication
245,Explosive Detector,Morbi vel lectus in quam fringilla rhoncus.,Protection
246,Armored Backpack,Quisque ut erat.,Protection
247,Combat Knife,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,Protection
248,Combat Knife,Aenean fermentum.,Optics
249,Ammunition Crate,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Optics
250,Armored Backpack,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Medical
251,Portable Radar,Cras in purus eu magna vulputate luctus.,Optics
252,Laser Rangefinder,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Protection
253,Thermal Camera,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Utility
254,Bulletproof Shield,Curabitur gravida nisi at nibh.,Communication
255,Medical Backpack,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Weapon
256,Explosive Detector,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Electronics
257,Explosive Detector,Aenean auctor gravida sem.,Communication
258,Night Vision Goggles,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Electronics
259,Explosive Detector,Proin interdum mauris non ligula pellentesque ultrices.,Weapon
260,Combat Knife,Nullam molestie nibh in lectus.,Optics
261,Night Vision Goggles,Nullam molestie nibh in lectus. Pellentesque at nulla.,Communication
262,Ammunition Crate,In eleifend quam a odio.,Surveillance
263,Sniper Rifle,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Optics
264,Camouflage Netting,Etiam justo. Etiam pretium iaculis justo.,Electronics
265,Combat Boots,Integer ac leo.,Protection
266,Combat Boots,Praesent blandit lacinia erat.,Protection
267,Mine Detector,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Communication
268,Bulletproof Shield,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Weapon
269,Grenade Launcher,Fusce posuere felis sed lacus.,Clothing
270,Sniper Rifle,Curabitur convallis.,Weapon
271,Ballistic Helmet,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Detection
272,Portable Radar,Morbi quis tortor id nulla ultrices aliquet.,Surveillance
273,GPS Unit,Quisque id justo sit amet sapien dignissim vestibulum.,Protection
274,Camouflage Netting,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Medical
275,Drone Controller,Aliquam quis turpis eget elit sodales scelerisque.,Weapon
276,Thermal Camera,Aliquam sit amet diam in magna bibendum imperdiet.,Communication
277,Water Purifier,Pellentesque at nulla.,Medical
278,Kevlar Vest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Electronics
279,GPS Unit,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Measurement
280,Mine Detector,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Weapon
281,Camouflage Netting,Pellentesque at nulla. Suspendisse potenti.,Electronics
282,Armored Backpack,Ut tellus.,Electronics
283,Satellite Phone,Integer tincidunt ante vel ipsum.,Clothing
284,Tactical Radio,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Electronics
285,Infrared Scope,Vivamus tortor.,Optics
286,Cyber Defense Tablet,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Protection
287,Medical Backpack,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Detection
288,Armored Backpack,Mauris ullamcorper purus sit amet nulla.,Utility
289,Combat Boots,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Optics
290,Laser Rangefinder,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Navigation
291,Surveillance Drone,Donec dapibus.,Electronics
292,Emergency Beacon,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Weapon
293,Night Vision Goggles,Pellentesque ultrices mattis odio. Donec vitae nisi.,Surveillance
294,Combat Knife,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Protection
295,Night Vision Goggles,Vestibulum ac est lacinia nisi venenatis tristique.,Electronics
296,Mobile Jammer,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Protection
297,Kevlar Vest,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Protection
298,Mine Detector,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Medical
299,Grenade Launcher,Fusce consequat. Nulla nisl.,Protection
300,Cyber Defense Tablet,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Optics
301,Sniper Rifle,Aenean sit amet justo. Morbi ut odio.,Electronics
302,Mine Detector,Maecenas tincidunt lacus at velit.,Communication
303,Night Vision Goggles,Nulla facilisi.,Protection
304,Tactical Radio,Cras pellentesque volutpat dui.,Utility
305,Riot Gear,Integer a nibh. In quis justo.,Ammunition
306,Field Laptop,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Protection
307,Grenade Launcher,Integer a nibh.,Ammunition
308,Tactical Radio,Maecenas ut massa quis augue luctus tincidunt.,Electronics
309,GPS Unit,Nunc purus.,Communication
310,Combat Knife,In hac habitasse platea dictumst.,Communication
311,Combat Boots,Sed ante.,Weapon
312,Ammunition Crate,Morbi a ipsum. Integer a nibh.,Electronics
313,Riot Gear,Aliquam non mauris.,Measurement
314,Camouflage Netting,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,Medical
315,Infrared Scope,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Electronics
316,Armored Backpack,Suspendisse ornare consequat lectus.,Cybersecurity
317,Portable Radar,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Weapon
318,Laser Rangefinder,Fusce consequat.,Measurement
319,Armored Backpack,Suspendisse potenti. In eleifend quam a odio.,Communication
